title,price,link,company
Frontend-разработчик / HTML-верстальщик,NO-PRICE,https://belgorod.hh.ru/vacancy/50519573?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Html-%D0%B2%D0%B5%D1%80%D1%81%D1%82%D0%B0%D0%BB%D1%8C%D1%89%D0%B8%D0%BA,ООО Спортдата
HTML-верстальщик,96 000 – 132 000 руб.,https://belgorod.hh.ru/vacancy/54851033?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Html-%D0%B2%D0%B5%D1%80%D1%81%D1%82%D0%B0%D0%BB%D1%8C%D1%89%D0%B8%D0%BA,ООО Вайт Код
HTML-верстальщик,800 – 1 500 USD,https://belgorod.hh.ru/vacancy/47368465?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Html-%D0%B2%D0%B5%D1%80%D1%81%D1%82%D0%B0%D0%BB%D1%8C%D1%89%D0%B8%D0%BA,ООО СофтКорп
Frontend-разработчик / HTML-верстальщик,80 000 – 140 000 руб.,https://belgorod.hh.ru/vacancy/55097515?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Html-%D0%B2%D0%B5%D1%80%D1%81%D1%82%D0%B0%D0%BB%D1%8C%D1%89%D0%B8%D0%BA,ООО ВОВДИ
Верстальщик HTML + CSS на платформе GetCourse,40 000 – 80 000 руб.,https://belgorod.hh.ru/vacancy/55100859?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Html-%D0%B2%D0%B5%D1%80%D1%81%D1%82%D0%B0%D0%BB%D1%8C%D1%89%D0%B8%D0%BA,BIRCH CENTER
HTML-верстальщик,от 70 000 руб.,https://belgorod.hh.ru/vacancy/49784952?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Html-%D0%B2%D0%B5%D1%80%D1%81%D1%82%D0%B0%D0%BB%D1%8C%D1%89%D0%B8%D0%BA,CCS (Center of Corporate Solution)
HTML-верстальщик,50 000 – 60 000 руб.,https://belgorod.hh.ru/vacancy/55059938?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Html-%D0%B2%D0%B5%D1%80%D1%81%D1%82%D0%B0%D0%BB%D1%8C%D1%89%D0%B8%D0%BA,"NEWMARK, интернет-агентство"
HTML-верстальщик,NO-PRICE,https://belgorod.hh.ru/vacancy/55186743?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Html-%D0%B2%D0%B5%D1%80%D1%81%D1%82%D0%B0%D0%BB%D1%8C%D1%89%D0%B8%D0%BA,ООО NOVATEST
Frontend-разработчик / HTML-верстальщик (удаленно),от 60 000 руб.,https://belgorod.hh.ru/vacancy/54599179?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Html-%D0%B2%D0%B5%D1%80%D1%81%D1%82%D0%B0%D0%BB%D1%8C%D1%89%D0%B8%D0%BA,Ивит
HTML-верстальщик,до 241 000 руб.,https://belgorod.hh.ru/vacancy/53646743?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Html-%D0%B2%D0%B5%D1%80%D1%81%D1%82%D0%B0%D0%BB%D1%8C%D1%89%D0%B8%D0%BA,Ramotion
HTML-верстальщик,от 30 000 руб.,https://belgorod.hh.ru/vacancy/55210126?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Html-%D0%B2%D0%B5%D1%80%D1%81%D1%82%D0%B0%D0%BB%D1%8C%D1%89%D0%B8%D0%BA,Tian Group
